Timestamp,	LIGHT,	ORIENTATION,	GPS,	
0,	,	0,	-90 -59 984 ,	0,	,	0,	,	0,	,	0,	,	0,	,	0,	,	0,	,	0,	,	

1510002781,	,	1510002781,	-81 -69 981 ,	1510002781,	,	1510002781,	,	1510002781,	,	1510002781,	,	1510002781,	,	1510002781,	,	1510002781,	,	1510002781,	,	

1510002782,	,	1510002782,	-82 -65 982 ,	1510002782,	,	1510002782,	,	1510002782,	,	1510002782,	,	1510002782,	,	1510002782,	,	1510002782,	,	1510002782,	,	

1510002783,	,	1510002783,	-80 -68 979 ,	1510002783,	,	1510002783,	,	1510002783,	,	1510002783,	,	1510002783,	,	1510002783,	,	1510002783,	,	1510002783,	,	

1510002784,	,	1510002784,	-82 -66 980 ,	1510002784,	,	1510002784,	,	1510002784,	,	1510002784,	,	1510002784,	,	1510002784,	,	1510002784,	,	1510002784,	,	

0,	,	0,	-81 -67 980 ,	0,	,	0,	,	0,	,	0,	,	0,	,	0,	,	0,	,	0,	,	

1510002786,	,	1510002786,	-80 -66 981 ,	1510002786,	,	1510002786,	,	1510002786,	,	1510002786,	,	1510002786,	,	1510002786,	,	1510002786,	,	1510002786,	,	

1510002787,	,	1510002787,	-80 -67 978 ,	1510002787,	,	1510002787,	,	1510002787,	,	1510002787,	,	1510002787,	,	1510002787,	,	1510002787,	,	1510002787,	,	

1510002788,	,	1510002788,	-76 -98 959 ,	1510002788,	,	1510002788,	,	1510002788,	,	1510002788,	,	1510002788,	,	1510002788,	,	1510002788,	,	1510002788,	,	

1510002789,	,	1510002789,	-67 492 835 ,	1510002789,	,	1510002789,	,	1510002789,	,	1510002789,	,	1510002789,	,	1510002789,	,	1510002789,	,	1510002789,	,	

0,	,	0,	-129 657 731 ,	0,	,	0,	,	0,	,	0,	,	0,	,	0,	,	0,	,	0,	,	

1510002791,	,	1510002791,	-109 -33 991 ,	1510002791,	,	1510002791,	,	1510002791,	,	1510002791,	,	1510002791,	,	1510002791,	,	1510002791,	,	1510002791,	,	

1510002792,	,	1510002792,	-82 -66 987 ,	1510002792,	,	1510002792,	,	1510002792,	,	1510002792,	,	1510002792,	,	1510002792,	,	1510002792,	,	1510002792,	,	

1510002793,	,	1510002793,	-75 -73 980 ,	1510002793,	,	1510002793,	,	1510002793,	,	1510002793,	,	1510002793,	,	1510002793,	,	1510002793,	,	1510002793,	,	

1510002794,	,	1510002794,	-76 -74 978 ,	1510002794,	,	1510002794,	,	1510002794,	,	1510002794,	,	1510002794,	,	1510002794,	,	1510002794,	,	1510002794,	,	

0,	,	0,	-76 -72 980 ,	0,	,	0,	,	0,	,	0,	,	0,	,	0,	,	0,	,	0,	,	

1510002796,	,	1510002796,	-75 -75 980 ,	1510002796,	,	1510002796,	,	1510002796,	,	1510002796,	,	1510002796,	,	1510002796,	,	1510002796,	,	1510002796,	,	

1510002797,	,	1510002797,	-72 -72 978 ,	1510002797,	,	1510002797,	,	1510002797,	,	1510002797,	,	1510002797,	,	1510002797,	,	1510002797,	,	1510002797,	,	

1510002798,	,	1510002798,	-72 -72 978 ,	1510002798,	,	1510002798,	,	1510002798,	,	1510002798,	,	1510002798,	,	1510002798,	,	1510002798,	,	1510002798,	,	

1510002799,	,	1510002799,	-77 -74 980 ,	1510002799,	,	1510002799,	,	1510002799,	,	1510002799,	,	1510002799,	,	1510002799,	,	1510002799,	,	1510002799,	,	

0,	,	0,	-73 -73 979 ,	0,	,	0,	,	0,	,	0,	,	0,	,	0,	,	0,	,	0,	,	

1510002801,	,	1510002801,	-72 -73 978 ,	1510002801,	,	1510002801,	,	1510002801,	,	1510002801,	,	1510002801,	,	1510002801,	,	1510002801,	,	1510002801,	,	

1510002802,	,	1510002802,	-73 -76 979 ,	1510002802,	,	1510002802,	,	1510002802,	,	1510002802,	,	1510002802,	,	1510002802,	,	1510002802,	,	1510002802,	,	

1510002803,	,	1510002803,	-75 -74 977 ,	1510002803,	,	1510002803,	,	1510002803,	,	1510002803,	,	1510002803,	,	1510002803,	,	1510002803,	,	1510002803,	,	

1510002804,	,	1510002804,	-76 -73 980 ,	1510002804,	,	1510002804,	,	1510002804,	,	1510002804,	,	1510002804,	,	1510002804,	,	1510002804,	,	1510002804,	,	

