Timestamp,	LIGHT,	ORIENTATION_X,	ORIENTATION_Y,	ORIENTATION_Z,	GPS,	
1510193571,	103 ,	-4 ,	-284 ,	935 ,	,	
1510193572,	101 ,	-4 ,	-283 ,	932 ,	,	
1510193573,	100 ,	-3 ,	-285 ,	936 ,	,	
1510193574,	101 ,	-2 ,	-283 ,	934 ,	,	
1510193576,	98 ,	-2 ,	-284 ,	934 ,	,	
1510193577,	97 ,	-2 ,	-283 ,	934 ,	,	
1510193578,	97 ,	-2 ,	-285 ,	933 ,	,	
1510193579,	99 ,	-4 ,	-286 ,	933 ,	,	
1510193581,	103 ,	-4 ,	-285 ,	935 ,	,	
1510193582,	85 ,	-4 ,	-284 ,	931 ,	,	
1510193583,	91 ,	-3 ,	-286 ,	934 ,	,	
1510193584,	102 ,	-3 ,	-286 ,	936 ,	,	
